-3.14971566,
-5.41428471,
4.95489454,
2.59971523,
-2.85842,
-4.48628616,
2.18508673,
1.6986773,
-8.52098751,
3.36464095,
-3.13577795,
-4.40753937,
-3.61773658,
2.75517559,
1.59339237,
-4.25810051,
-1.57266533,
-5.27177048,
-3.05969262,
4.39315748,
-4.56313038,
9.83978176,
-5.31744146,
-5.43057871,
-2.36443329,
-2.80692482,
-2.81704617,
-3.98144269,
-3.87744498,
-4.47657681,
3.21689296,
-4.78144884,
9.28066921,
6.50761747,
-0.485603,
1.11547756,
-2.69752073,
-4.82265854,
-6.94006157,
2.95162082,
-6.64922428,
0.318403512,
2.69164824,
-5.92004871,
2.75421,
2.1653533,
-3.95807576,
2.5258677,
-3.60083199,
-0.163286477,
1.36599278,
-1.74055421,
-2.31302118,
4.72017145,
10.8764877,
0.419391811,
-3.37315416,
5.49972916,
-3.93246317,
1.85934567,
6.01438808,
1.31036806,
-0.178447098,
-1.34099305,
-1.47575033,
-0.672551751,
-0.641882777,
-1.76287973,
3.09698749,
-1.82446814,
-0.989546776,
-4.20521116,
3.22838163,
0.693795681,
4.76154852,
1.03050649,
-1.79247034,
-3.09384799,
-3.88238883,
-3.82856488,
4.47021103,
0.601799428,
-0.198943466,
-3.7292192,
-0.157919019,
2.18719101,
-2.77714539,
2.85100317,
-0.939179242,
6.26611328,
-3.77241778,
-0.701445401,
-3.61851192,
-3.40395403,
4.68942976,
-3.45720291,
-1.90705752,
2.80417871,
-4.56758738,
0.28258732,
2.4914887,
-3.3789649,
3.08982325,
-3.4057951,
-2.62834525,
-2.35254526,
2.26145697,
-3.38904071,
-3.35639977,
-0.469583511,
-2.95216203,
6.0465889,
-4.75436687,
0.175867543,
3.10512877,
-2.22043729,
-3.63824,
-5.55522871,
4.44519854,
-1.33104014,
0.929265857,
-2.19713306,
-2.59926867,
-1.40715063,
-1.11804211,
6.47140408,
6.02594423,
2.64384079,
-0.603110671,
0.126553953,
-2.79844785,
0.317768604,
1.90715361,
-1.9123131,
1.74064255,
-0.89672792,
9.77393723,
0.828708887,
-5.00716972,
1.74880636,
0.652244568,
-0.624007702,
1.10472369,
-1.83381033,
-0.398674846,
2.55554676,
2.05502701,
0.902284622,
0.94033134,
5.46323872,
-0.533507645,
0.656113207,
1.18955433,
-0.898892581,
-0.0333696455,
3.81089377,
-1.57573414,
1.82868564,
0.401392281,
-2.58671594,
-0.117786184,
-1.27507508,
-0.0719113722,
-0.243803158,
0.651194572,
-2.04767036,
-5.71357965,
3.08087158,
0.0595443249,
-2.34013844,
0.625172,
-0.00845551491,
-1.16895843,
0.136285663,
1.03789914,
-2.25484776,
0.28096956,
1.88382649,
3.51546144,
0.506668508,
-0.00721193664,
-0.650156558,
0.939963818,
0.683546901,
1.2694,
1.1306864,
0.410406113,
-0.290109634,
-4.38845444,
1.73907924,
1.31955874,
-5.66284513,
