0.185268596,
0.332129925,
0.347990513,
0.146078527,
0.960237205,
0.133203387,
0.261244,
0.0138988104,
0.963340342,
0.680327892,
0.991882801,
0.739488602,
0.152219072,
0.0428052247,
0.0196441989,
0.0212734248,
0.98882556,
0.626164377,
0.449544072,
0.0233463496,
0.472827673,
0.905341148,
0.0575055555,
0.942881107,
0.267941475,
0.998235703,
0.0214348659,
0.322785,
0.0259808581,
0.0302872434,
0.990694404,
0.0295315124,
0.119619422,
0.946216226,
0.00950005651,
0.55259,
0.92725122,
0.032215979,
0.959004819,
0.0309377238,
0.0673093498,
0.0872081295,
0.910047352,
0.0334286764,
0.0326061,
0.388514966,
0.0544776805,
0.997766793,
0.00840736274,
0.530010879,
0.958987713,
0.0924311951,
0.0251087081,
0.00362951495,
0.988728344,
0.209219277,
0.721341729,
0.0933898687,
0.0668039545,
0.186044395,
0.240981564,
0.99859184,
0.997751355,
0.936377168,
